Strain	Cluster_ID	Main_cluster	Sub_cluster	Clonal_complex
CC55_001C--NZ_KI669414.1	0.0	0	0	CC55_001C--NZ_KI669414.1
RJX1121--NZ_NIHP01000001.1	0.0	0	0	RJX1121--NZ_NIHP01000001.1,RJX1123--NZ_NIHR01000001.1
RJX1123--NZ_NIHR01000001.1	0.0	0	0	RJX1121--NZ_NIHP01000001.1,RJX1123--NZ_NIHR01000001.1
2789STDY5608852--NZ_CYZG01000001.1	0.0	0	0	2789STDY5608852--NZ_CYZG01000001.1
RJX1120--NZ_NIHO01000001.1	0.0	0	0	RJX1120--NZ_NIHO01000001.1
ATCC29149--NZ_AAYG02000043.1	0.0	0	0	ATCC29149--NZ_AAYG02000043.1,ATCC29149--NZ_PUEL01000001.1
ATCC29149--NZ_PUEL01000001.1	0.0	0	0	ATCC29149--NZ_AAYG02000043.1,ATCC29149--NZ_PUEL01000001.1
NZ_FCFA01000001.1--NZ_FCFA01000001.1	0.0	0	0	NZ_FCFA01000001.1--NZ_FCFA01000001.1
RJX1125--NZ_NIHT01000001.1	0.1	0	1	RJX1125--NZ_NIHT01000001.1
RJX1126--NZ_NIHU01000001.1	0.1	0	1	RJX1126--NZ_NIHU01000001.1,RJX1127--NZ_NIHV01000001.1
RJX1127--NZ_NIHV01000001.1	0.1	0	1	RJX1126--NZ_NIHU01000001.1,RJX1127--NZ_NIHV01000001.1
RJX1122--NZ_NIHQ01000001.1	0.1	0	1	RJX1122--NZ_NIHQ01000001.1
RJX1124--NZ_NIHS01000001.1	0.1	0	1	RJX1124--NZ_NIHS01000001.1
RJX1128--NZ_NIHW01000001.1	0.1	0	1	RJX1128--NZ_NIHW01000001.1
RJX1119--NZ_NIHN01000001.1	0.1	0	1	RJX1119--NZ_NIHN01000001.1,RJX1118--NZ_NIHM01000001.1
RJX1118--NZ_NIHM01000001.1	0.1	0	1	RJX1119--NZ_NIHN01000001.1,RJX1118--NZ_NIHM01000001.1
NZ_FJUS01000001.1--NZ_FJUS01000001.1	0.2	0	2	NZ_FJUS01000001.1--NZ_FJUS01000001.1
AGR2154--NZ_JAGQ01000001.1	0.2	0	2	AGR2154--NZ_JAGQ01000001.1
